,text,selected_text,sentiment,Age of User,Country
13505,operation mischevious pinwheel to commence in NUMBER min laughing out loud waiting on ed to show up,operation mischevious (pinwheel) to commence in 25 min... lol  waiting on ed to show up,neutral,70-100,Sierra Leone
13506,long shift time_tonight i really should sleep but i m not tired had a nice talk with jon after work got to love that boy,****... long shift tonight... i really should sleep but i`m not tired. had a nice talk with jon after work  gotta love that boy!,neutral,0-20,Singapore
13507,is actually workin the weekendnot for it,is actually workin the weekend...not for it,neutral,21-30,Slovakia
13508,wish i did not have to go to work time_tonight,wish,positive,31-45,Slovenia
13509,hey dude Instant Message finishing my lullaby dude i saw a picture of you with long hair umm let us just say keep it short ha,hey dude im finishing my lullaby  dude i saw a pic of you w/ long hair umm lets just say keep it short ha,neutral,46-60,Solomon Islands
13510,weekend is going great yours,weekend is going great,positive,60-70,Somalia
13511,oh no,oh no,neutral,70-100,South Africa
13512,sad face moment of the day,sad face moment of the day,negative,0-20,South Korea
13513,at happiness norp_chinese totally disappointed the food is usually good fail,disappointed,negative,21-30,South Sudan
13514,this is my ordinal_second to last biology and the ordinal_first time that i have ever been on time haha,this is my second to last biology and the first time that i have ever been on time. haha.,neutral,31-45,Spain
13515,had cold rock choc mintbubblegumcookieflakenerds yum extreme droll had date_a date_fun date_day,fun,positive,46-60,Sri Lanka
13516,i m not posh enough to read tatler,i`m not posh enough to read tatler,neutral,60-70,Sudan
13517,right coursework now promise,right. coursework now. promise,neutral,70-100,Suriname
13518,great albumlucky to have this on vinyl URL,great album..,positive,0-20,Sweden
13519,i m just a couple bus stops away from an lc but i did nt realize that until date_about date_a date_month date_or date_so date_ago,"i`m just a couple bus stops away from an lc, but i didn`t realize that until about a month or so ago",neutral,21-30,Switzerland
13520,_ j person_heehee i love you i am tired,_j heehee. i love you! i am tired.,neutral,31-45,Syria
13521,wish i was at sri panwa now,wish,positive,46-60,Tajikistan
13522,phone with kayla johnathan and cisco woo,"phone with kayla, johnathan, and cisco!  woo!",neutral,60-70,Tanzania
13523,i m christine and i m a friggin shopaholic check out my new coat had to promise someone i would nt spend for date_too date_weeks after buying this,promise,positive,70-100,Thailand
13524,after pub lunch am now going to daughters for tea life is good,life is good,positive,0-20,Timor-Leste
13525,sorry i did nt message you yet i could nt get my thoughts straight but person_moro ill try goodnight,sorry i didn`t message you yet... i couldn`t get my thoughts straight. but tomorrow i`ll try  goodnight,neutral,21-30,Togo
13526,right but iãââ½m a stickler for correct dpi export and color value iãââ½m going to dig in and find out if this is possible,right. but iã¯â¿â½m a stickler for correct dpi export and color value  iã¯â¿â½m going to dig in and find out if this is possible,neutral,31-45,Tonga
13527,thanks for reading my blog and for laughing at my perils and tragedies cries,thanks for reading my blog. and for laughing at my perils and tragedies! ****cries****,neutral,46-60,Trinidad and Tobago
13528,person_ps are you a doctor or swine flu paranoid,ps- are you a doctor or swine flu paranoid?,neutral,60-70,Tunisia
13529,lost luggage sorry to hear you should check out our selection of travel luggage here URL,? sorry,positive,70-100,Turkey
13530,at ember with dante i have so much fun with him can i smile any harder,so much fun,positive,0-20,Turkmenistan
13531,no churchill downs for me org_moro,no churchill downs for me tomorrow,neutral,21-30,Tuvalu
13532,sitting in katies house with jo the other cardinal_two are away doing stuff and i have swine flu and bronchitis but that is a difference story,"sitting in katies house with jo, the other two are away doing stuff, and i have swine flu  and bronchitis but thats a diff story.",negative,31-45,Uganda
13533,hugs Instant Message glad you got to spend time with your mom if your free time_tonight drop by for some spaghetti,glad,positive,46-60,Ukraine
13534,date_today i was so happy got i got off school early but now i m bored,"today i was so happy got i got off school early, but now i`m bored!!",neutral,60-70,United Arab Emirates
13535,had a nice concert date_yesterday nice location nice people it was great but i have a bad cold since date_yesterday time_night being sick sucks,nice co,positive,70-100,United Kingdom
13536,ouch my back man i m sick,man i`m sick,negative,0-20,United States of America
13537,major fail since you asked,fail.,negative,21-30,Uruguay
13538,aw that s cute,"aw, that`s cute",positive,31-45,Uzbekistan
13539,org_hugs,*hugs*,neutral,46-60,Vanuatu
13540,Instant Message So happy kellz is back from tn we about hang out all the time,im soo happy,positive,60-70,Venezuela
13541,oh my i have to play cluedo,oh my. i have to play cluedo.,neutral,70-100,Vietnam
13542,date_friday and its raining,friday and it`s raining,neutral,0-20,Yemen
13543,i love youi love youi love you you re the most beautiful and sweet girl ever,"u,i love you",positive,21-30,Zambia
13544,_ person_ho naw it was before the NUMBER minutes bug where tanks would stop spawning after org_NUMBER mins i m glad i get to keep it,glad,positive,31-45,Zimbabwe
13545,you have a deathmatch amigui,you have a dm amigui,neutral,46-60,Afghanistan
13546,no food since woke up,no food,negative,60-70,Albania
13547,trying to win tickets comon org_NUMBER,trying to win tickets! com`on dc101...,neutral,70-100,Algeria
13548,just got home lng,just got home lng.,neutral,0-20,Andorra
13549,missing you all deeply,missing you all deeply,negative,21-30,Angola
13550,yay for bank holidays,yay,positive,31-45,Antigua and Barbuda
13551,i m sending a happy date_mamas date_day shout to the greatest twitmama ever to you kick all day everyday lovely sons,"i`m sending a happy mama`s day shout to the greatest twit-mama ever to ... u kick ****, all day - everyday! lovely sons!!",positive,46-60,Argentina
13552,ahh seen a few of those drop but i just tossed them thinking it was a once only turn in,"ahh seen a few of those drop, but i just tossed them thinking it was a once only turn in",neutral,60-70,Armenia
13553,i do nt like waiting,i don`t like,negative,70-100,Australia
13554,it was the best ever my ordinal_first you did not awnser any of my questions hugs and kisses,best,positive,0-20,Austria
13555,date_two date_months date_from date_today till i m person_mrs person_josiah person_ahh,two months from today till i`m mrs. josiah!! ahhhh!,neutral,21-30,Azerbaijan
13556,person_hey person_maria i m so sorry i think i accidentally disconnected you thank you so much for trying headed to your site soon,"hey, maria! i`m so sorry!  i think i accidentally disconnected you.     thank you so much for trying. headed to your site",neutral,31-45,Bahamas
13557,is cute,is cute,positive,46-60,Bahrain
13558,boo for date_all date_the date_season date_finales,boo fo,negative,60-70,Bangladesh
13559,ahh i person_knoww i saw it may th and th in gpe_newcastle and it was so good i m So excited for th date_june as its my birthday aswell,"! i`m soo excited for 6th june, as its my bday aswell!",positive,70-100,Barbados
13560,taking the dog on a walkthe weather is perfect right now _ p sucks because she did nt come with me hahaha,perfect,positive,0-20,Belarus
13561,maan it is way too nice outside to be in here working,nice,positive,21-30,Belgium
13562,is going out in the rain,is going out in the rain,neutral,31-45,Belize
13563,_ ming me is good game for date_summer sch though not attachment yan can go see the blog check my msn or ask kinny,_ming  me is gg for summer sch though.. not attachment... yan can go see the blog. check my msn or ask kinny,neutral,46-60,Benin
13564,i wish i could have a pole we got no space for it maybe i should throw out some furniture and get a pole,i wish,positive,60-70,Bhutan
13565,good time_morning sunshine tiime for chool laughing out loud bbl,good,positive,70-100,Bolivia
13566,oh thas cool you know i only kind of knew bouts you because of ericson haha when you guys were together x,"oh thas cool  you know, i only kinda knew bouts you cuz of ericson haha when you guys were together",neutral,0-20,Bosnia and Herzegovina
13567,i did nt get to chat oh well time to eat a praline,i didn`t get to chat!,negative,21-30,Botswana
13568,bit devastated that i lost my entire documents folder on my home computer,lost,negative,31-45,Brazil
13569,i may be in the us for it in which case ill attend but if its off my own back i ca nt afford to go,i may be in the us for it in which case i`ll attend but if its off my own back i can`t afford to go,neutral,46-60,Brunei
13570,i have tickets worth about org_NUMBER kd about org_NUMBER derham for tayeem my cars window,i have tickets worth about 70 kd - about 880 derham - for ta`3yeem my car`s window,neutral,60-70,Bulgaria
13571,next time you are around please let me and know and we will take you for lunch too,next time you are around please let me and  know and we will take you for lunch too,neutral,70-100,Burkina Faso
13572,Instant Message so bummed out right nownobody loves me,im so bummed,negative,0-20,Burundi
